 User Name ,Age,Account Balance ,Status
User_AB3231,,2605.08,500
User_AB2734,,2948.16,200
User_AB8971,32.0,1098.37,200
User_AB6252,19.0,3807.4,404
,39.0,4660.94,200
User_AB8400,,318.46,200
User_AB1204,47.0,458.99,200
User_AB6061,33.0,1412.02,200
User_AB5043,29.0,3691.51,404
User_AB2085,,4845.19,500
User_AB7803,28.0,2174.96,200
,45.0,122.61,200
User_AB4069,50.0,4014.1,500
User_AB1673,18.0,2277.87,404
User_AB1134,33.0,4988.41,404
User_AB5086,57.0,790.09,200
User_AB8814,25.0,4476.48,Error
User_AB1293,31.0,923.59,500
User_AB5254,42.0,4180.91,200
User_AB5954,24.0,4456.1,404
User_AB6396,46.0,501.98,200
User_AB2310,24.0,1781.09,200
User_AB2706,53.0,3817.0,200
User_AB1494,34.0,681.54,500
User_AB8180,61.0,4773.68,404
User_AB3830,40.0,4341.96,500
User_AB4429,44.0,4977.37,404
User_AB4830,19.0,2502.79,404
User_AB8431,43.0,611.37,200
User_AB4998,29.0,1231.94,500
User_AB8922,27.0,3230.17,200
User_AB1179,35.0,4177.79,200
User_AB7790,,4220.46,500
User_AB1780,56.0,1835.05,404
User_AB5961,18.0,3238.96,404
User_AB1911,22.0,1557.06,404
User_AB8668,40.0,821.2,404
User_AB2140,60.0,2593.64,200
,25.0,392.92,404
User_AB2432,49.0,1513.99,500
User_AB7930,63.0,130.14,200
User_AB3952,40.0,3654.31,200
User_AB6918,45.0,3430.36,500
,43.0,1786.69,404
User_AB5608,40.0,963.05,OK
User_AB7462,50.0,4232.86,404
User_AB4869,28.0,3254.04,500
User_AB4395,53.0,4740.5,404
User_AB2463,34.0,703.91,500
User_AB1215,53.0,4505.98,200
User_AB9995,30.0,2706.29,500
User_AB2694,38.0,2332.72,404
User_AB6213,61.0,3730.88,500
User_AB3977,39.0,4785.55,404
User_AB9349,31.0,1726.2,404
User_AB1701,,2300.66,404
User_AB9205,45.0,1259.11,200
User_AB3758,30.0,4202.49,200
User_AB4230,18.0,2930.23,500
User_AB6737,21.0,3646.33,200
User_AB6249,20.0,408.17,200
User_AB5346,58.0,3757.16,500
User_AB5265,28.0,1465.79,500
User_AB4264,51.0,502.76,500
User_AB4919,63.0,3831.86,500
User_AB4783,48.0,3517.93,200
User_AB3132,40.0,1581.25,500
User_AB5943,64.0,1942.65,500
User_AB3188,22.0,3695.59,200
User_AB4002,42.0,468.32,OK
User_AB6975,,3917.33,200
User_AB4744,39.0,1742.53,200
User_AB6167,36.0,4361.51,404
User_AB1634,30.0,806.63,500
User_AB4683,36.0,4772.51,404
User_AB8444,24.0,1880.54,500
User_AB4108,41.0,217.21,200
User_AB1078,40.0,3797.79,404
User_AB7462,62.0,686.63,404
User_AB1772,44.0,892.18,404
User_AB6686,50.0,4549.59,200
,27.0,2666.49,200
User_AB2034,24.0,1938.92,404
User_AB6500,19.0,4549.74,500
